商圈分组,品类,总SKU数,最小SKU,最大SKU,当前范围,推荐范围
旅游区,文具用品,30,1,27,1-27,1-5
办公区,宠物产品,21,1,21,0-21,0-10
文教区,槟榔,34,4,34,0-34,0-33
工业区,坚果炒货,91,5,90,0-89,0-76
商业区,碳酸饮料,103,7,87,0-83,0-81
旅游区,烘焙糕点,66,31,43,30-42,10-33
旅游区,饼干,133,28,92,28-92,23-49
商业区,口腔护理,78,1,66,0-65,0-63
住宅区,休闲肉脯,121,2,112,0-111,0-82
其他,糖果&巧克力,273,9,240,0-191,0-143
商业区,果干蜜饯,92,1,75,0-75,0-56
医院区,生活用纸,58,2,45,0-42,0-30
科教区,休闲肉脯,121,6,99,6-92,6-65
办公区,啤酒／预调酒,122,2,104,0-101,0-85
旅游区,个人护理,68,1,43,1-43,0-14
医院区,常温乳制品,92,22,72,0-67,0-61
交通枢纽,生活用纸,57,2,34,0-33,0-25
旅游区,雪糕,75,13,47,13-47,13-37
商业区,药品&医护,7,1,4,0-4,0-4
娱乐区,冷藏品,76,1,76,0-75,0-63
市场区,餐厨用品,53,1,46,0-46,0-27
娱乐区,熟食&饮品,85,1,55,0-50,0-37
娱乐区,玩具,63,1,48,0-46,0-24
办公区,香烟,825,2,308,0-299,0-276
住宅区,果汁,62,1,58,0-57,0-53
旅游区,休闲肉脯,89,11,62,11-62,11-34
办公区,熟食&饮品,87,1,66,0-64,0-45
文教区,其它饮品,32,3,32,0-32,0-31
工业区,定量小包装,266,21,252,0-251,0-227
商业区,生鲜&水果,4,1,4,0-4,0-4
旅游区,酒类,92,8,66,8-66,1-32
文教区,卫生用品,83,15,81,0-81,0-73
其他,药品&医护,6,1,4,0-4,0-3
住宅区,口腔护理,78,1,74,0-70,0-53
工业区,个人护理,199,1,145,0-143,0-102
市场区,粮油,103,1,75,0-68,0-40
科教区,功能饮料,110,27,81,27-80,17-69
娱乐区,计生情趣,62,1,58,0-56,0-39
商业区,生活用纸,58,2,41,0-39,0-36
医院区,熟食&饮品,83,1,40,0-39,0-28
旅游区,冲调品,46,1,36,1-31,0-11
医院区,卫生用品,83,6,78,0-76,0-64
科教区,玩具,46,2,18,2-17,1-7
医院区,香烟,747,2,286,0-259,0-224
