店号,台账编号,场景代码,场景,货架组数,大类,sku数,近30天销量,近30天销售额,坪效,推荐组数
粤38786,0001GD0010060100,10,方便食品,1,方便食品,21,355,1888.7,89.938095,1
粤38786,0101GD0018060300,18,日化,3,个人护理,8,12,223.1,27.8875,2
粤38786,0101GD0018060300,18,日化,3,口腔护理,3,6,57.2,19.066667,2
粤38382,0101GD0018060400,18,日化,4,餐厨用品,2,4,21.5,10.75,7
粤38786,0001GD0009060100,9,粮油冲调,1,粮油,3,16,300,100,1
粤38786,0101GD0018060300,18,日化,3,针织品及鞋类,10,18,350.5,35.05,2
粤38382,0101GD0018060400,18,日化,4,生活用纸,9,65,123.6,13.733333,7
粤38382,0101GD0018060400,18,日化,4,口腔护理,7,10,145.9,20.842857,7
粤38786,0001GD0014060201,14,大休闲,2,坚果炒货,7,17,171.5,24.5,3
粤38786,0101GD0018060300,18,日化,3,生活用纸,11,85,343.8,31.254545,2
粤38786,0001GD0014060201,14,大休闲,2,休闲肉脯,8,19,275.95,34.49375,3
粤38786,0101GD0005060100,5,大酒馆,1,酒类,19,119,2238,117.789474,1
粤38382,0101GD0012060201,12,糖巧,2,果干蜜饯,2,6,18,9,2
粤38786,0101GD0018060300,18,日化,3,卫生用品,23,62,706.3,30.708696,2
粤38382,0007GD0014060601,14,大休闲,6,休闲肉脯,24,69,644.4,26.85,4
粤38382,0701GD0016060300,16,膨化,3,膨化食品,36,96,697.25,19.368056,2
粤38786,0101GD0006060100,6,潮玩,1,玩具,13,30,594.2,45.707692,1
粤38786,0001GD0014060201,14,大休闲,2,果干蜜饯,1,2,28,28,3
粤38382,0101GD0009060200,9,粮油冲调,2,粮油,1,3,27,27,2
粤38786,0001GD0009060100,9,粮油冲调,1,冲调品,10,29,196.7,19.67,1
粤38786,0001GD0024990100,24,促销爆品,1,功能饮料,4,295,1276.25,319.0625,1
粤38382,0001GD0024990100,24,促销爆品,1,茶饮品,1,28,100,100,1
粤38786,0301GD0014060100,14,大休闲,1,休闲肉脯,3,4,51,17,3
粤38786,0001GD0021060200,21,烘焙常温奶,2,烘焙糕点,16,85,423.3,26.45625,2
粤38786,0001GD0024990100,24,促销爆品,1,啤酒／预调酒,5,544,4125.7,825.14,1
粤38382,0101GD0018060400,18,日化,4,家庭护理,5,8,97,19.4,7
粤38382,0101GD0006060100,6,潮玩,1,玩具,5,8,169.5,33.9,1
粤38786,0301GD0014060100,14,大休闲,1,休闲素食,9,21,234.4,26.044444,3
粤38786,0001GD0024990100,24,促销爆品,1,果汁,1,45,270,270,1
粤38382,0101GD0018060400,18,日化,4,家庭杂品,1,6,6,6,7
粤38382,0001GD0015060201,15,饼干,2,饼干,27,57,423.8,15.696296,2
粤38786,0001GD0012060100,12,糖巧,1,糖果&巧克力,66,501,3739.29,56.655909,1
粤38382,0301GD0014060100,14,大休闲,1,坚果炒货,1,1,9.9,9.9,4
粤38382,0001GD0021060200,21,烘焙常温奶,2,常温乳制品,35,1492,5080.3,145.151429,2
粤38382,0007GD0014060601,14,大休闲,6,休闲素食,18,50,244.8,13.6,4
粤38382,0001GD0024990100,24,促销爆品,1,烘焙糕点,1,4,39.6,39.6,1
粤38382,0007GD0014060601,14,大休闲,6,坚果炒货,26,82,755.2,29.046154,4
粤38786,0001GD0024990100,24,促销爆品,1,烘焙糕点,1,3,29.7,29.7,1
粤38382,0301GD0014060100,14,大休闲,1,休闲肉脯,3,6,50.5,16.833333,4
粤38382,0101GD0018060400,18,日化,4,卫生用品,27,45,486.5,18.018519,7
粤38382,0301GD0014060100,14,大休闲,1,休闲素食,2,2,19.8,9.9,4
粤38382,0101GD0018060400,18,日化,4,个人护理,4,4,53.3,13.325,7
粤38786,0001GD0015060201,15,饼干,2,饼干,44,184,1474,33.5,2
粤38382,0101GD0005060100,5,大酒馆,1,酒类,23,163,2801.1,121.786957,1
粤38786,0301GD0014060100,14,大休闲,1,坚果炒货,1,2,28,28,3
粤38382,0101GD0009060200,9,粮油冲调,2,调味副食,12,19,192.2,16.016667,2
粤38382,0101GD0018060400,18,日化,4,针织品及鞋类,2,4,63.6,31.8,7
粤38382,0001GD0024990100,24,促销爆品,1,功能饮料,4,220,954.5,238.625,1
粤38382,0101GD0013060300,13,小零食,3,定量小包装,88,1089,1961.3,22.2875,4
粤38382,0101GD0012060201,12,糖巧,2,定量小包装,2,6,15,7.5,2
粤38786,0001GD0014060201,14,大休闲,2,休闲素食,7,47,227,32.428571,3
粤38382,0101GD0009060200,9,粮油冲调,2,冲调品,3,20,62,20.666667,2
粤38786,0101GD0018060300,18,日化,3,餐厨用品,5,13,138,27.6,2
粤38382,0101GD0012060201,12,糖巧,2,糖果&巧克力,38,170,1022.7,26.913158,2
粤38786,0101GD0013060100,13,小零食,1,定量小包装,26,590,1211.5,46.596154,2
粤38786,0001GD0009060100,9,粮油冲调,1,调味副食,20,152,1027.9,51.395,1
粤38786,0101GD0018060300,18,日化,3,家庭杂品,8,34,283.3,35.4125,2
粤38382,0001GD0010060201,10,方便食品,2,方便食品,39,410,1669.5,42.807692,2
粤38382,0001GD0024990100,24,促销爆品,1,果汁,2,213,1568.7,784.35,1
粤38786,0001GD0013060100,13,小零食,1,定量小包装,31,652,1338,43.16129,2
粤38382,0001GD0024990100,24,促销爆品,1,啤酒／预调酒,7,704,5984.8,854.971429,1
粤38786,0101GD0018060300,18,日化,3,家庭护理,7,19,341.9,48.842857,2
粤38382,0007GD0014060601,14,大休闲,6,果干蜜饯,4,5,45,11.25,4
粤38786,0001GD0021060200,21,烘焙常温奶,2,常温乳制品,36,1539,5771.85,160.329167,2
粤38382,0001GD0021060200,21,烘焙常温奶,2,烘焙糕点,18,66,296.15,16.452778,2
粤38786,0001GD0016060200,16,膨化,2,膨化食品,46,284,2212.29,48.093261,1
